,tr,ge,tc,tl,tf,ln
0,0,0,0.0,1.1,1.0,3.0
1,0,0,0.0,1.1,1.0,1.0
2,0,0,0.0,1.1,1.0,2.0
3,0,0,0.0,1.1,1.0,2.0
4,0,1,0.0,1.1,1.0,2.0
5,0,1,0.0,1.1,1.0,1.0
6,0,1,0.0,1.1,1.0,3.0
7,0,1,0.0,1.1,1.0,2.0
8,0,2,0.0,1.1,1.0,1.0
9,0,2,0.0,1.1,1.0,0.0
10,0,2,0.0,1.1,1.0,1.0
11,0,2,0.0,1.1,1.0,2.0
12,1,0,0.0,1.1,0.8,2.0
13,1,0,0.0,1.1,0.6000000000000001,2.0
14,1,0,0.0,1.1,0.8,3.0
15,1,0,0.0,1.1,0.1,1.0
16,1,1,0.0,1.1,0.6000000000000001,2.0
17,1,1,0.0,1.1,0.8,2.0
18,1,1,0.0,1.1,0.8,3.0
19,1,1,0.0,1.1,0.8,1.0
20,1,2,0.0,1.1,0.6000000000000001,2.0
21,1,2,0.0,1.1,0.8,2.0
22,1,2,0.0,1.1,0.8,2.0
23,1,2,0.0,1.1,0.8,2.0
